Date,Open,High,Low,Close,Volume
2024-04-11,146.15293795698952,148.6699528451447,145.78078355416022,147.5828399658203,2932900.0
2024-04-12,146.39780345432243,148.6210015331205,145.89832474340088,148.5818328857422,2833100.0
2024-04-15,147.97458402589018,150.22716198003226,145.45758411822374,145.99624633789062,2736400.0
2024-04-16,144.16481006671495,144.31172611173272,141.13852783577522,143.0385284423828,3085800.0
2024-04-17,144.26275555743155,145.14419205981972,141.9710086958936,142.73492431640625,3183300.0
2024-04-18,149.84524055080587,151.0792547989727,142.5782378677199,142.87205505371094,5503900.0
2024-04-19,143.1070916031051,143.8024584196638,138.55297769169698,139.2581329345703,3393600.0
2024-04-22,140.49214959777046,141.2168966501269,138.28854316124307,140.1199951171875,3108800.0
2024-04-23,141.5694666552257,146.07460838305872,140.52152225530347,144.9777069091797,2337600.0
2024-04-24,144.56636863200163,146.85811561243833,142.00039628352098,143.10708618164062,2474200.0
2024-04-25,139.93389478403725,141.843683827006,137.11327407801517,141.22666931152344,2261800.0
2024-04-26,141.94159762868654,144.80140161665082,141.75552790128384,142.33335876464844,2057400.0
2024-04-29,143.5380207966066,144.39988052145924,141.61844315655034,142.96018981933594,1615000.0
2024-04-30,141.2658568923643,142.41173035051798,139.27771555759836,139.55194091796875,2453600.0
2024-05-01,139.65989460075846,143.49735551170556,138.37420157871466,139.8365478515625,1957400.0
2024-05-02,141.19094008449403,142.91828109595954,139.20841331545876,142.76126098632812,1779900.0
2024-05-03,147.21703850203247,150.69135402137613,145.69579277570648,145.72523498535156,3134100.0
2024-05-06,147.42315174905715,148.52236753189018,146.38280541094235,148.4536590576172,1548200.0
2024-05-07,149.63139544958116,150.2889630512677,148.47328036289676,148.59104919433594,2545000.0
2024-05-08,147.20723329675783,148.2082984024096,144.96953545071318,144.9989776611328,2850000.0
2024-05-09,145.6859566920054,147.24645341669262,145.30319306188042,146.72628784179688,4055000.0
2024-05-10,146.75575252425693,147.71756628497144,146.24539594735714,147.18759155273438,2085600.0
2024-05-13,148.07091223647646,148.07091223647646,143.99791295288168,144.13531494140625,2845300.0
2024-05-14,144.99896433974484,145.6270897304765,143.69363822019344,145.25413513183594,1914100.0
2024-05-15,148.96399293857266,154.80359835767203,148.49290267145753,154.65638732910156,4305000.0
2024-05-16,153.67495446825535,154.15586883133238,147.8549666748924,148.16903686523438,2482300.0
2024-05-17,149.4841632563252,149.4841632563252,147.79607352224352,148.68919372558594,1490500.0
2024-05-20,148.74809050780345,149.11122107038855,146.64779473038362,147.01092529296875,1390800.0
2024-05-21,147.05016855077898,147.16793736871966,145.62707375646966,146.6085205078125,1622300.0
2024-05-22,145.74487080314694,146.48095600922343,141.4068771190858,141.90740966796875,3094400.0
2024-05-23,142.42757352418795,142.64349304659285,139.65007691842635,140.17025756835938,1906800.0
2024-05-24,141.2989093863974,142.19202964689228,140.71985931777849,141.9368438720703,1102400.0
2024-05-28,142.1331278407511,142.77106224837675,139.18878754274488,140.19967651367188,1341000.0
2024-05-29,138.33492808236684,139.3360080449752,137.81476245905932,138.7569580078125,1850300.0
2024-05-30,140.0033899580324,143.05569032151314,139.7972945018034,142.79071044921875,1809100.0
2024-05-31,143.8015953111329,145.3326499867122,142.39811854139165,145.05784606933594,4213600.0
2024-06-03,145.05786379027788,145.3130346088172,143.53661800601586,144.20399475097656,1911800.0
2024-06-04,143.28142200340028,143.85066293765027,140.06227773609578,141.20074462890625,2448300.0
2024-06-05,142.30978893800958,143.44827084367924,140.31745309093262,143.3795623779297,1557900.0
2024-06-06,143.08512528879217,143.8408435333341,140.76891019472166,141.03390502929688,1570600.0
2024-06-07,136.42110296385272,139.06119720868793,135.51817371973584,137.61846923828125,2866300.0
2024-06-10,136.49963254769472,139.7972946316379,136.18556236079976,139.5813751220703,1602700.0
2024-06-11,138.72751661107574,138.72751661107574,136.70572354420304,136.97071838378906,1813100.0
2024-06-12,142.29016308021176,147.0992617306813,140.33709339251922,141.0633544921875,3222700.0
2024-06-13,140.37634043245257,141.41667168752255,138.61955717683838,140.79837036132812,1712200.0
2024-06-14,138.77657998655664,140.44505162878252,137.17683178853943,140.1309814453125,1843300.0
2024-06-17,139.51265947082626,140.98482970080624,138.16808211966537,140.60206604003906,2393900.0
2024-06-18,139.0317697366847,139.42434250157564,135.76354980283355,136.81369018554688,2705800.0
2024-06-20,137.1375667263965,139.3163799722689,136.77443617731467,138.53121948242188,2821100.0
2024-06-21,138.79622524521196,140.13099369021276,136.7744469334516,139.74822998046875,3460100.0
2024-06-24,139.45379872332654,142.6435014295821,139.17899476515072,141.37744140625,1907500.0
2024-06-25,141.17127836573985,141.32831341925947,136.58792444290603,137.83436584472656,1931400.0
2024-06-26,137.01979517628567,138.25641281467213,136.9805438916328,137.7166290283203,1630900.0
2024-06-27,137.8049553285184,138.80602032957688,136.4113026033964,138.58029174804688,1405600.0
2024-06-28,139.08084999447112,139.78747800112478,137.15720743682215,138.3153076171875,2792000.0
2024-07-01,138.90417965990466,139.12990825550025,134.39934194736503,134.4778594970703,2477900.0
2024-07-02,131.51390427601558,133.09403462044918,130.55209036331053,132.7014617919922,3632800.0
2024-07-03,131.94569839005823,135.21391773891,131.93587433849524,133.50619506835938,1616800.0
2024-07-05,133.74177101039191,134.2717457381884,132.18125908407083,133.04493713378906,1657100.0
2024-07-08,134.08526614149858,135.23355717849896,132.53457829496998,133.65342712402344,1666000.0
2024-07-09,133.4767608642578,135.1354083034607,132.78975111965315,133.4767608642578,1721800.0
2024-07-10,134.42876681347332,137.71661952063343,134.21284732356307,137.00015258789062,2926300.0
2024-07-11,141.36760631254091,147.77646841181712,141.05355108873275,146.95204162597656,4564700.0
2024-07-12,148.1003290003767,152.46777962048154,148.061077714269,150.8876495361328,4024000.0
2024-07-15,151.1133762834698,151.90834585475022,148.85604547969064,149.3369598388672,2547300.0
2024-07-16,152.0261227825851,159.62252737784925,151.5157811637797,159.24957275390625,3237700.0
2024-07-17,157.433881650755,159.21029792731116,154.1754711512348,154.58767700195312,4137400.0
2024-07-18,164.1273708322456,174.17739308805554,162.4981802611182,170.20252990722656,9608600.0
2024-07-19,170.52638895447623,173.77497560837625,167.95500301829009,170.61471557617188,4125200.0
2024-07-22,171.30172230312155,174.7073439850585,168.83829616280136,173.8731231689453,3653700.0
2024-07-23,173.51980862014872,175.39437572530866,171.5765480218403,173.2842559814453,3051100.0
2024-07-24,172.51874007454563,173.66703118501152,167.77834960783775,167.89613342285156,3280400.0
2024-07-25,169.08365899586306,173.31369244509617,167.1698406688619,169.49586486816406,2838500.0
2024-07-26,174.26570356994313,176.80764736512222,172.30280983299727,173.65721130371094,3353900.0
2024-07-29,174.59939410905818,176.4641521680463,172.93093740678844,175.39437866210938,1527700.0
2024-07-30,176.39543605297013,178.00500826874088,173.95164301006562,177.09226989746094,2011200.0
2024-07-31,177.99521271257143,181.9896938604905,174.58959072694446,176.59173583984375,3137100.0
2024-08-01,178.35145435196887,180.11118663347827,174.29130450760383,176.02154541015625,2815400.0
2024-08-02,171.77461985474113,177.86975031273954,170.78170835294236,174.61573791503906,3179700.0
2024-08-05,165.08963236181376,172.48244362154347,164.19503546126063,170.79153442382812,2919400.0
2024-08-06,170.60474935792536,174.7042314553161,168.03889412466577,170.70306396484375,2250700.0
2024-08-07,172.89532093338934,174.39944123428523,165.76794780796317,166.1415252685547,3204000.0
2024-08-08,167.9602345835361,170.71286314506588,166.1415196404463,169.8084259033203,2270100.0
2024-08-09,170.43761621987088,172.6495597354457,169.83793315562028,170.0443878173828,2833900.0
2024-08-12,169.5233592271499,170.94883098576145,167.58667852727194,169.1596221923828,2069700.0
2024-08-13,170.94883325935166,173.95707418323542,170.3491501666315,172.07937622070312,1803700.0
2024-08-14,173.5343541145834,173.85877431185642,171.05697306312757,171.263427734375,1522000.0
2024-08-15,172.62006307053156,173.94723513952593,169.78878565775264,172.32513427734375,1706400.0
2024-08-16,172.13836287679413,175.6676379812898,172.13836287679413,175.00897216796875,2000200.0
2024-08-19,176.59172711010467,178.40060158737447,175.11709824262806,178.3809356689453,2088300.0
2024-08-20,179.54100653152514,180.8583382120878,175.97239944096134,176.57208251953125,1483900.0
2024-08-21,178.85283509968258,183.95505402008905,178.85283509968258,183.3062286376953,2722200.0
2024-08-22,182.9916323409149,184.6825415062575,180.7993547023971,182.5984039306641,2212300.0
2024-08-23,184.38760158485127,189.1555745254553,183.67977848849972,188.54605102539065,3421800.0
2024-08-26,190.05999402137823,190.35492278402995,185.4788102435284,185.8622131347656,2553700.0
2024-08-27,184.31877762827855,185.36084626428428,183.0112716036318,184.367919921875,1458200.0
2024-08-28,183.38486848701976,186.27514392646293,183.0309569025838,184.3974609375,1329200.0
2024-08-29,184.56456689198637,185.8917239617361,182.3132916021929,183.6896209716797,956300.0
2024-08-30,184.82016656460996,186.07851543478097,181.54648840995048,185.5673065185547,1659600.0
2024-09-03,185.6164609751146,187.14024724007987,179.48201407717147,181.3695373535156,1923100.0
2024-09-04,180.20949498520773,181.2319128410629,178.55791768056773,181.0746154785156,1544400.0
2024-09-05,181.3793546558824,182.41159788577153,179.45249962670937,180.612548828125,1368200.0
2024-09-06,181.26139700774925,185.98019769075523,181.26139700774925,182.9916229248047,2657300.0
2024-09-09,183.3455148136458,186.4324038464052,182.67702362216792,184.3482666015625,1901800.0
2024-09-10,185.74426332158265,186.4717373301202,182.91297096205983,184.3581085205078,1706200.0
2024-09-11,182.11670290999837,183.17843771490223,178.2040243702127,182.0282287597656,1905800.0
2024-09-12,182.8048136446688,186.18663142126985,182.3722534638431,185.6164398193359,1206600.0
2024-09-13,188.35928524340105,191.70177167227789,187.76942763797473,191.50515747070312,2563300.0
2024-09-16,193.13708859457785,193.39268556284023,188.7426928281245,191.3085479736328,1923000.0
2024-09-17,192.40958967439445,192.6356952501488,189.5291399456124,192.0458526611328,1537600.0
2024-09-18,192.1933120553154,194.2086413455499,189.41117688890617,190.9054718017578,2753900.0
2024-09-19,195.2113982016624,196.4697471072702,190.75800473018992,193.7269287109375,2203400.0
2024-09-20,189.21455505760187,191.07258691349296,187.80873434085396,188.6443634033203,5339900.0
2024-09-23,189.74543496597053,191.33804458302416,187.8185946895194,190.18783569335935,1941800.0
2024-09-24,191.0234460315725,191.1020947148565,187.64162765387272,189.1162567138672,1542800.0
2024-09-25,187.061594083244,187.55313706012888,183.4929872708356,184.0041961669922,2560200.0
2024-09-26,185.1839134071121,185.29205347203805,183.50284467136632,184.8300018310547,2066200.0
2024-09-27,186.5209085887924,189.84374417606608,185.83275136676303,187.13043212890625,1550700.0
2024-09-30,186.049009650462,187.79890138133237,184.75132904067468,187.54330444335935,1828500.0
2024-10-01,188.752488856381,189.9813462057064,186.4815628749397,189.46031188964844,1695800.0
2024-10-02,187.3467087467147,188.5559003428242,185.3510303391572,187.3368682861328,2002600.0
2024-10-03,186.2948001793415,188.00537524878715,184.4662595881072,186.9927978515625,1902700.0
2024-10-04,187.0616027264375,187.89723182603257,178.79384587305375,181.5169982910156,2541700.0
2024-10-07,180.88784526553144,182.33298305548084,178.54809551024124,182.0282287597656,1935700.0
2024-10-08,182.42143737707053,184.21066111326908,181.133597105766,182.34278869628903,1174200.0
2024-10-09,182.11666990220652,182.69668700510067,180.74035559013555,182.12649536132812,1395000.0
2024-10-10,179.90474401985514,182.0871962129391,179.3542182415461,180.28814697265625,1535900.0
2024-10-11,180.5634126021354,181.80209562212963,179.63930931707668,179.72779846191406,1554800.0
2024-10-14,180.12100208886764,184.2499599212404,179.72777372414666,183.94520568847656,1751900.0
2024-10-15,185.803259016422,188.9393058412031,184.8201729898801,186.1964874267578,2360700.0
2024-10-16,187.68096715114436,189.29322772247235,187.29756417993536,189.1752471923828,1447100.0
2024-10-17,188.75251921852305,189.3620277616081,186.0588580752558,187.72027587890625,2094200.0
2024-10-18,188.74267252461988,192.19329872813097,187.77923751565717,191.26919555664065,2234700.0
2024-10-21,189.9321933880972,190.09931619146033,182.80482059402513,183.11941528320312,1853300.0
2024-10-22,179.70812329986194,180.2291576783553,176.5622511087599,177.33888244628906,3246300.0
2024-10-23,176.49344529579218,178.25317780484517,175.70697342027313,177.24058532714844,2308200.0
2024-10-24,179.40336259447932,181.21223716427855,179.0199596693512,179.60980224609375,1627100.0
2024-10-25,179.96370871536712,180.091514687038,175.99204814148925,176.2083282470703,1962700.0
2024-10-28,178.2433185570616,179.63929886364105,175.56932346255113,177.3290557861328,2432500.0
2024-10-29,150.59894948352425,164.89301358360572,150.40233528008298,164.48995971679688,10496500.0
2024-10-30,163.48721796592258,168.8647000190325,163.46755204414234,166.4266357421875,4408600.0
2024-10-31,165.09945656343214,167.5276800558748,164.48994807568903,166.1415252685547,3088600.0
2024-11-01,168.5304242172587,171.4403653505902,163.8017830012091,164.80453491210938,4348200.0
2024-11-04,166.4463061437813,172.62992614857603,166.21037507888082,167.8521270751953,3411300.0
2024-11-05,165.4042287548425,170.5457646223297,164.68658013488454,170.33932495117188,3225300.0
2024-11-06,160.7542273003236,164.2638365282576,157.05781433113367,163.89027404785156,6636100.0
2024-11-07,163.4380457631151,166.4364610313908,163.25125702498784,165.26658630371094,2380600.0
2024-11-08,165.1781084580758,166.5839141912516,164.29332208691284,165.93507385253906,2651900.0
2024-11-11,166.63308290489937,167.61616893973653,163.8509476262259,164.62759399414062,1767300.0
2024-11-12,162.8636552604302,163.53374716982157,159.35549164862954,159.47373962402344,3036100.0
2024-11-13,162.21326218102263,163.00161710659964,158.57698655222097,158.783935546875,2924300.0
2024-11-14,158.783927902727,163.2775312145804,158.4784439549696,161.35592651367188,2303400.0
2024-11-15,159.39490373347942,161.00117558127542,158.6558238089038,159.25694274902344,2507200.0
2024-11-18,157.7886216373354,160.6464061820536,157.759059645202,159.09925842285156,1958400.0
2024-11-19,158.95144980468447,160.08469961035297,156.3203272262582,159.9368896484375,2262700.0
2024-11-20,159.9664584472436,161.109572323424,159.3062155282306,160.7449493408203,1528100.0
2024-11-21,161.38550507345093,161.93734904045232,159.40476114742475,159.50331115722656,2255000.0
2024-11-22,160.232519748304,161.63184247959123,159.14852993841058,161.1489715576172,2667400.0
2024-11-25,164.7655365171216,173.35857303496235,164.7655365171216,170.42196655273438,4728600.0
2024-11-26,168.51020582406187,168.90437572947093,164.84436856460897,166.25355529785156,1826400.0
2024-11-27,168.36239622304865,169.2394370455551,166.6083145780357,166.9630584716797,1865300.0
2024-11-29,168.65802796658,169.46609587866263,165.99734332126394,166.32254028320312,1148800.0
2024-12-02,165.69184682959863,166.82509658125167,163.50416927781134,164.96261596679688,1661600.0
2024-12-03,166.1944390930145,166.90395704944257,163.67171526421248,164.49948120117188,1888500.0
2024-12-04,161.62199110401153,162.35122203650874,158.47845048259302,159.000732421875,2267700.0
2024-12-05,159.55255244016436,159.70036238700663,157.14807706074896,157.35501098632812,2146000.0
2024-12-06,159.58215438710022,160.75483038106427,155.5319954267191,156.20208740234375,2265100.0
2024-12-09,157.61124125433983,158.6360920122584,155.42356373376862,158.61639404296875,2950600.0
2024-12-10,153.85672246930517,156.2907600048692,153.3738515488388,154.71405029296875,2689600.0
2024-12-11,154.40855070695804,155.0392315204701,151.19600762598566,151.44236755371094,3565000.0
2024-12-12,149.5700700111406,150.7723079177279,148.6339050934852,149.0083770751953,2416500.0
2024-12-13,146.70242635624572,148.2101481309946,145.62830052342022,147.6878662109375,4895200.0
2024-12-16,148.3185546206569,149.93467546265433,145.0567509424551,145.46078491210938,4144200.0
2024-12-17,145.72684584522182,147.1951415581393,144.17969810544724,144.57388305664062,3904500.0
2024-12-18,144.99761768428348,145.94364654828422,139.56784957052267,139.705810546875,3926900.0
2024-12-19,133.42855469268227,138.680951095083,133.03438475250775,135.2417755126953,5216300.0
2024-12-20,135.92170851580735,138.72036906045616,135.30089164789248,137.57725524902344,7848000.0
2024-12-23,137.23236075463095,138.14882771869765,135.81333987051576,138.05027770996094,2410100.0
2024-12-24,137.261908376478,139.20322605966743,137.07468743807553,138.9962921142578,1162200.0
2024-12-26,137.9615888813939,140.2773787094081,137.85318988866516,139.41018676757812,1677400.0
2024-12-27,138.53313801856555,140.02114680145183,137.65609714022798,138.2375030517578,1624300.0
2024-12-30,137.58710860495185,138.4345874870235,135.81332888413954,137.52798461914062,2290600.0
2024-12-31,138.5134414269143,139.20324640680514,137.3309164561556,137.7842254638672,1866100.0
2025-01-02,139.30179367326062,139.65655266115616,135.07426285107422,135.63595581054688,2290100.0
2025-01-03,137.1436772173938,138.37547716549494,136.207512264161,137.8531951904297,2208100.0
2025-01-06,138.7302249229947,140.04086176608396,137.12395310896613,137.33090209960938,3472000.0
2025-01-07,137.16338826969334,139.13426815853356,135.4191553578161,135.83303833007812,2922900.0
2025-01-08,134.92643039389878,138.42474507449134,134.40414844560797,137.863037109375,3067800.0
2025-01-10,136.97614378043974,137.75463467214414,134.29574609490015,134.53225708007812,3523300.0
2025-01-13,134.8475886401872,136.4341474375074,134.2464697160692,136.38487243652344,3526200.0
2025-01-14,140.4251676644141,141.4598824334754,139.25249192858578,141.0755615234375,3405400.0
2025-01-15,146.8305573482175,147.76672232398602,143.00704540555196,143.29283142089844,4397500.0
2025-01-16,143.29282395435354,144.5344728540471,141.2036810760402,144.4654998779297,3468000.0
2025-01-17,146.63344791808066,147.08674181383077,144.80052925523148,145.50018310546875,3861300.0
2025-01-21,149.68833216089934,151.97456021170515,141.41064205524106,141.60772705078125,6012000.0
2025-01-22,141.4598883259855,145.0468886479616,141.44017531944976,144.79066467285156,3826200.0
2025-01-23,144.10088111255462,144.3472411025068,141.96247820416448,143.12530517578125,2895600.0
2025-01-24,142.9577548229811,143.18440176010006,140.62225234037925,140.83905029296875,3234500.0
2025-01-27,140.22808698268284,146.3772217303382,140.21822296121667,145.11585998535156,4275100.0
2025-01-28,144.7808381042457,144.94836109419148,141.75554522549692,141.8540802001953,3016900.0
