Date,Open,High,Low,Close,Volume
2024-04-11,399.03623452814674,400.5275218448232,390.55399077681096,394.0494689941406,441600.0
2024-04-12,392.1947351180466,402.8072605178667,392.1947351180466,399.3653564453125,280200.0
2024-04-15,403.1418851520039,403.1418851520039,391.85054938844576,394.3172302246094,200300.0
2024-04-16,394.1163921328799,396.53528007631866,390.4258979224671,395.21588134765625,214900.0
2024-04-17,395.1967843059845,395.8182322167529,385.76025285846487,386.2000427246094,249400.0
2024-04-18,389.3360060665491,391.8791896008146,383.8672117458169,384.2783203125,219800.0
2024-04-19,382.9971493084222,388.2364927896113,379.48834228515625,379.48834228515625,343500.0
2024-04-22,380.9798408546319,389.1734473340141,379.3927400877875,388.6476135253906,499800.0
2024-04-23,390.5024260188431,400.8854702871934,389.1256645765726,395.4071350097656,465700.0
2024-04-24,404.1266156622778,431.47058785886753,403.3043693337529,421.25006103515625,778400.0
2024-04-25,419.0510190602703,430.7534906830794,409.4901924408041,424.5007019042969,482400.0
2024-04-26,423.17176688471216,426.0782665794206,419.90198025832865,423.7454223632813,277100.0
2024-04-29,425.5810945285163,428.7839773909887,422.8753641634128,428.181640625,219700.0
2024-04-30,425.76271955801417,430.533562497502,425.74357923211574,428.0573120117187,278200.0
2024-05-01,426.4129045800067,435.6104159252206,421.3456776987547,430.9160461425781,375000.0
2024-05-02,434.8933190384428,436.11710368783514,428.1051262521597,436.0501708984375,236300.0
2024-05-03,442.42722582233233,446.0698982161486,435.6294925003891,444.1481628417969,288800.0
2024-05-06,448.0203418680124,453.89067424859735,446.108176541369,451.6056518554687,330900.0
2024-05-07,453.2501638630054,459.10138572233086,447.4084829907549,447.4371643066406,458900.0
2024-05-08,446.99732489039576,450.34361420060304,443.8040123070773,448.10638427734375,379400.0
2024-05-09,448.6609207400048,452.3131636778493,444.9895666518872,451.3283996582031,169500.0
2024-05-10,453.2405773635186,458.4799212360097,451.8733860600242,458.2122192382813,474800.0
2024-05-13,459.5507227979227,461.1186832834457,455.91759096262905,458.4034118652344,179100.0
2024-05-14,459.6558793003993,466.3197770332838,459.6558793003993,463.1742858886719,289700.0
2024-05-15,467.13247194904585,467.23765622479954,460.4494627970837,461.5011596679687,195500.0
2024-05-16,460.0001330196592,460.0001330196592,449.5119032906105,449.8560791015625,273800.0
2024-05-17,451.8351009422928,457.0553040980224,448.50792278051966,456.6441955566406,192100.0
2024-05-20,456.6059696274993,464.9908337011795,456.40520042724944,461.6062927246094,170600.0
2024-05-21,461.3768487682858,464.6179540419908,453.9672076308666,464.0825500488281,193700.0
2024-05-22,464.1399017283659,465.7174323559079,459.5985088803133,461.9696044921875,181000.0
2024-05-23,465.13423014770376,465.13423014770376,455.554292067616,457.7819519042969,260700.0
2024-05-24,459.0917915727015,470.2970821714703,457.00753825435146,468.0407409667969,289300.0
2024-05-28,467.1324002169595,468.5856352843614,459.9139881623271,461.3959045410156,172500.0
2024-05-29,456.0323044531362,460.191240561733,449.8081971801891,450.0281066894531,228000.0
2024-05-30,452.944188370324,456.5772910335501,448.6227049819538,453.8046569824219,205900.0
2024-05-31,454.0628109818824,455.5734088173761,448.4888324738369,454.0436706542969,317900.0
2024-06-03,458.8145275397482,458.8145275397482,440.983562362422,451.0224304199219,223100.0
2024-06-04,447.6187555311984,451.5482702847949,436.0597201178867,439.702392578125,266300.0
2024-06-05,441.98745088114384,447.4466745743547,438.56465869787473,442.17864990234375,211600.0
2024-06-06,440.3621260767809,445.6875137036472,436.7385644841262,439.1670227050781,194000.0
2024-06-07,437.73288635627495,443.7849059997858,433.774719272653,442.3125305175781,385900.0
2024-06-10,439.3008975047906,445.4006807329851,439.3008975047906,442.81927490234375,210300.0
2024-06-11,440.2378452083444,445.28596085017233,436.8341930274248,443.06787109375,355400.0
2024-06-12,452.3801045684702,467.76347207524515,448.2498202038977,462.294677734375,271700.0
2024-06-13,461.2621054580539,464.8760968591343,456.5677359489089,464.0921020507813,146500.0
2024-06-14,458.11658490677223,458.39385705632145,449.5692033302346,456.9979553222656,231000.0
2024-06-17,455.4587311767922,465.7079400103917,451.80648786023505,465.11517333984375,212800.0
2024-06-18,463.08816371121577,471.97017941861736,457.887101102756,469.4461364746094,275400.0
2024-06-20,468.2128467737928,468.2128467737928,456.7876462092071,460.153076171875,248300.0
2024-06-21,458.1643700554501,458.85275074784954,449.1580876053283,451.4144287109375,708200.0
2024-06-24,450.9937603372474,461.4150558876442,450.6017629306282,461.2812194824219,314900.0
